COUNTRY,INSTITUTION,INSTITUTION TYPE,INSTITUTION WEBSITE,INSTITUTION WIKIDATA,OPEN ACCESS SCOPE,LICENCE/RIGHTS STATEMENT FOR DIGITAL SURROGATES OF PUBLIC DOMAIN OBJECTS ,CLOSEST EQUIVALENT LICENCE (IF USING NON-STANDARD),RIGHTS POLICY OR TERMS OF USE,"LICENCE/RIGHTS STATEMENT FOR METADATA 
(IF STATED)",GITHUB,API,DATA SOURCE(S),,,,,,,,,,,
Argentina,Academia Argentina de Letras,Library,http://aal.edu.ar,https://www.wikidata.org/wiki/Q2057876,Some eligible data,Public Domain Mark,,,,,,https://commons.wikimedia.org/wiki/Category:Files_from_Academia_Argentina_de_Letras,,,,,,,,,,,
Argentina,Archivo General de la Nación Argentina,Archive,http://www.agnargentina.gob.ar,https://www.wikidata.org/wiki/Q2860529,Some eligible data,Public Domain Mark,,,,,,https://commons.wikimedia.org/wiki/Category:Files_provided_by_Archivo_General_de_la_Naci%C3%B3n_Argentina,,,,,,,,,,,
Argentina,Archivo Histórico de la Provincia de Buenos Aires,Archive,https://www.amigoslevene.com,https://www.wikidata.org/wiki/Q18581036,Some eligible data,Public Domain Mark,,,,,,https://commons.wikimedia.org/wiki/Category:Files_from_the_Archivo_Hist%C3%B3rico_de_la_Provincia_de_Buenos_Aires,,,,,,,,,,,
Argentina,Archivo Histórico de San Luis,Archive,http://www.archivohistorico.sanluis.gov.ar,https://www.wikidata.org/wiki/Q56746875,All eligible data,Free and unrestricted access',CC0,,,,,http://www.archivohistorico.sanluis.gov.ar/AHAsp/Paginas/Foto.asp?Tipo=1&CarpetaVId=10&Page=1&FotoId=15043,,,,,,,,,,,
Argentina,Biblioteca Feminaria,Library,http://www.tierra-violeta.com.ar,https://www.wikidata.org/wiki/Q18592746,Some eligible data,Public Domain Mark,,,,,,https://commons.wikimedia.org/wiki/Category:Files_from_Biblioteca_Feminaria,,,,,,,,,,,
Argentina,Biblioteca Nacional de Maestros,Library,http://www.bnm.me.gov.ar,https://www.wikidata.org/wiki/Q5727816,Some eligible data,CC BY,,,,,,http://www.bnm.me.gov.ar/catalogos,,,,,,,,,,,
Argentina,Museo Nacional de Bellas Artes,Museum,https://www.bellasartes.gob.ar,https://www.wikidata.org/wiki/Q1848918,Some eligible data,Public Domain Mark,,,,,,https://commons.wikimedia.org/wiki/Category:Files_provided_by_the_Museo_Nacional_de_Bellas_Artes,,,,,,,,,,,
Australia,Australian National Maritime Museum,Museum,http://www.anmm.gov.au,https://www.wikidata.org/wiki/Q844329,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/anmm_thecommons,,,,,,,,,,,
Australia,Australian War Memorial,Museum,http://www.awm.gov.au,https://www.wikidata.org/wiki/Q782783,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/australian-war-memorial,,,,,,,,,,,
Australia,Museum of Applied Arts and Sciences,Museum,http://maas.museum/powerhouse-museum,https://www.wikidata.org/wiki/Q2107035,Some eligible data,No known copyright restrictions,No Known Copyright,https://maas.museum/copyright,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/powerhouse_museum,,,,,,,,,,,
Australia,Museums Victoria,Museum,https://museumsvictoria.com.au,https://www.wikidata.org/wiki/Q500890,All eligible data,Public Domain Mark,,https://collections.museumvictoria.com.au/items/253032,CC0,https://github.com/museumsvictoria,,https://collections.museumvictoria.com.au,,,,,,,,,,,
Australia,National Library of Australia,Library,https://www.nla.gov.au,https://www.wikidata.org/wiki/Q623578,Some eligible data,Public Domain Mark,,https://www.nla.gov.au/about-this-site/copyright,,https://github.com/nla,,https://www.nla.gov.au/collections,,,,,,,,,,,
Australia,Royal Australian Historical Society,Other,http://www.rahs.org.au,https://www.wikidata.org/wiki/Q7373750,Some eligible data,No known copyright restrictions,No Known Copyright,http://www.rahs.org.au/about-rahs/rahs-copyright-statement/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/royalaustralianhistoricalsociety,,,,,,,,,,,
Australia,State Library of New South Wales,Library,http://www.sl.nsw.gov.au,https://www.wikidata.org/wiki/Q6133813,Some eligible data,No known copyright restrictions,No Known Copyright,https://www.flickr.com/commons/usage/,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/statelibraryofnsw,,,,,,,,,,,
Australia,State Library of Queensland,Library,http://www.slq.qld.gov.au,https://www.wikidata.org/wiki/Q2050653,Some eligible data,Public Domain Mark,,http://www.slq.qld.gov.au/home/copyright,,,,http://onesearch.slq.qld.gov.au,,,,,,,,,,,
Australia,State Library Victoria,Library,http://www.slv.vic.gov.au,https://www.wikidata.org/wiki/Q1200052,Some eligible data,CC BY,,http://www.slv.vic.gov.au/contribute-create/open-data,,https://github.com/statelibraryvic/opendata/find/master,,https://www.data.vic.gov.au,,,,,,,,,,,
Australia,Tasmanian Archive and Heritage Office,Archive,https://www.libraries.tas.gov.au,https://www.wikidata.org/wiki/Q61095292,Some eligible data,No known copyright restrictions,No Known Copyright,http://www.linc.tas.gov.au/tasmaniasheritage/browse/pictorial/flickr-commons,,,https://www.flickr.com/services/api/,https://www.flickr.com/photos/107895189@N03,,,,,,,,,,,
Austria,Belvedere,Museum,https://www.belvedere.at,https://www.wikidata.org/wiki/Q303139,All eligible data,CC BY-SA,,https://www.belvedere.at/en/opencontent,,,,https://digital.belvedere.at/objects/images?filter=openContentProgram%3Atrue,,,,,,,,,,,
Austria,"Herbarium, Karl-Franzens-Universität Graz",University,https://botanik.uni-graz.at,https://www.wikidata.org/wiki/Q622683,Some eligible data,CC BY-SA,,https://www.uni-graz.at/en/imprint/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=University%20of%20Graz%2C%20Institute%20of%20Plant%20Sciences%20-%20Herbarium%20GZU&view=grid,,,,,,,,,,,
Austria,"Institut für Botanik, Universität Wien",University,http://herbarium.univie.ac.at,https://www.wikidata.org/wiki/Q165980,Some eligible data,CC BY-SA,,http://herbarium.univie.ac.at/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=Natural+History+Museum%2C+Vienna+-+Herbarium+W&per_page=72&q=&view=grid,,,,,,,,,,,
Austria,Oberösterreichische Landesbibliothek,Library,https://www.landesbibliothek.at,https://www.wikidata.org/wiki/Q1439945,Some eligible data,CC BY-SA,,http://digi.landesbibliothek.at/viewer/,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=Ober%C3%B6sterreichische+Landesbibliothek&per_page=72&q=Ober%C3%B6sterreichische+Landesbibliothek&view=grid&f%5BREUSABILITY%5D%5B%5D=open,,,,,,,,,,,
Austria,Österreichische Nationalbibliothek,Library,https://www.onb.ac.at,https://www.wikidata.org/wiki/Q304037,Some eligible data,Public Domain Mark,,http://www.bildarchivaustria.at/Pages/Informationen/AGBs.aspx,CC0,,https://pro.europeana.eu/page/api-rest-console,https://www.europeana.eu/portal/search?f%5BDATA_PROVIDER%5D%5B%5D=%C3%96sterreichische+Nationalbibliothek+-+Austrian+National+Library&f%5BREUSABILITY%5D%5B%5D=open&per_page=72&q=%C3%96sterreichische+Nationalbibliothek&view=grid&f%5BREUSABILITY%5D%5B%5D=restricted,,,,,,,,,,,
