espacio_cultural_id,provincia_id,localidad_id,observaciones,ID MA-MUSEOS_AR-OSM,provincia,localidad,Wikidata,Wikipedia,Commons,ID OSM,Orbita?,Oranismo del que depende,catálogo,latitud,longitud,nombre,direccion,codigo_postal,codigo_indicativo_telefono,telefono,mail,web,fuente,juridisccion,anio_de_creacion,descripcion_de_patrimonio,anio_de_inauguracion,Horarios,Otros datos,
1033,,,,,,,143,35,37,236,,,26,,,1100,,,,,,,,,,,,,,
300003,06,06588100,,MA-MUSEOS_AR-OSM-0001,Buenos Aires,9 de Julio,,,,node/7814458815,,,,-35.441762,-60.887598,Archivo y Museo Histórico Gral. Julio de Vedia,Libertad 1191,B6500EVL,02317,425279,archivoymuseo@yahoo.com.ar,,,Municipal,1920,"Documentos históricos desde la fundación de la ciudad hasta el presente; libros, mobiliario, armas, numismática, medallística obras de arte y otros objetos.",1920,,,
300037,06,06077010,,MA-MUSEOS_AR-OSM-0002,Buenos Aires,Arrecifes,,,,node/3995791238,,,,"-34,0647726","-60,1079722",Museo y Archivo Histórico De Arrecifes,Gerardo Risso y España,B2740FMJ,02478,452931,museoarrecifes@hotmail.com,,,Municipal,1972,"Historia de Arrecifes: carruajes antiguos, máquinas agrícolas, automóviles de todas las épocas, objetos de uso cotidiano, tallas religiosas.",1972,,,
300041,06,06035010,,MA-MUSEOS_AR-OSM-0003,Buenos Aires,Avellaneda,,,,,,,,-29.118024,-59.654543,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Avenida Calle 11 (Avenida San Martín) Nº 830,S3561AKT,03482,481200,,,,Municipal,,"Se inauguró oficialmente el 1 de julio de 1995, oportunidad en que se le impuso el nombre ""Hno. Rogelio Scortegagna"", en homenaje al religioso que se esforzó para que el museo fuera una realidad. Cuenta con gran cantidad de objetos, imágenes, libros y do",,,,
300042,06,06035010,,MA-MUSEOS_AR-OSM-0004,Buenos Aires,Avellaneda,,,,,,,,-34.66211,-58.36327,Museo Municipal de Artes Plásticas de Avellaneda,"Sarmiento 101, 1 º Piso",B1870CBC,011,42059567,,,,Municipal,1909,"Pinturas, dibujos, grabados, esculturas, fotografías vinculadas en su mayoría al riachuelo y a la ciudad de Avellaneda",1956,,,
,,,,MA-MUSEOS_AR-OSM-1111,Buenos Aires,Avellaneda,,,,way/175796602,,,,-34.67490,-58.36234,Museo Ferroviario Bonaerense de Avellaneda,,,,,,,,,,,,,,
300043,06,06049020,,MA-MUSEOS_AR-OSM-0005,Buenos Aires,Azul,,,,node/1437156880,,,,"-36,7762704","-59,8660999",Museo Etnográfico y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,B7300XAA,02281,434811,museoazul@yahoo.com,,,Privada,1949,"Platería Mapuche; material arqueológico de los antiguos pobladores de la zona; objetos regionales de uso rural y urbano; documentación referente a las comandancias de frontera y a la repartición de tierras; pinacoteca. Platería criolla, cerámica de Perú",1949,,,
,,,,MA-MUSEOS_AR-OSM-0146,Buenos Aires,Azul,,,,,,,,,,(?) Museo López Claro,Av. Mitre 410,7300,02281,429295,museolopezclaro@yahoo.com.ar,https://www.facebook.com/museo.lopezclaro,,Privada,1995,,,,,
,,,,MA-MUSEOS_AR-OSM-1099,Buenos Aires,Azul,Q75854732,,,way/747451155,,,,-36.7844403,-59.8512718,Museo Ferroviario - Ferro Club Azul,Av. Mitre 1053,7300,,+54 2281-427298,,,,,2002,"En este lugar se atesoran documentos, archivo fotográfico, objetos ferroviarios, telégrafos y hasta un vagón remodelado que data de la década del 20´, y que se puede recorrer por dentro.",,,,
300044,06,06056010,,MA-MUSEOS_AR-OSM-0006,Buenos Aires,Bahía Blanca,,,,node/1550393586,,,,-38.7131,-62.2622,Museo de Bellas Artes,Sarmiento 450,B8000HQJ,,+54 291 459-4006,2museos@bahia.gob.ar,http://2museos.bahia.gob.ar/,,Municipal,1934,"Cuenta con una importante y variada colección de más de 800 obras de arte obtenidas a partir de donaciones de artistas, particulares y mediante premios de bienales de arte. Pinturas, esculturas, grabados, fotografías, instalaciones, videos y dibujos",1935,,,
